READ_TIME_Date,h1vmba1uEV22,h1vmba2uEV22,h1vmba3uEV22,h2vmba1uEV22,h2vmba2uEV22,h2vmba3uEV22,h1v0ba1uEV22,h1v0ba2uEV22,h1v0ba3uEV22,h2v0ba1uEV22,h2v0ba2uEV22,h2v0ba3uEV22,A1vmba1uEV12,A1vmba2uEV12,A1vmba3uEV12,A2vmba1uEV12,A2vmba2uEV12,A2vmba3uEV12,A1v0ba1uEV12,A1v0ba2uEV12,A1v0ba3uEV12,A2v0ba1uEV12,A2v0ba2uEV12,A2v0ba3uEV12
21/04/2017 12.00,0.611780772,0.509968136,0.335794871,0.473900794,0.603601947,0.762790643,0.359216244,0.457586782,0.665952612,0.49937318,0.609891441,0.699402653,0.361378066,0.340336922,0.457932338,0.314024318,0.507500322,0.643186459,0.40476715,0.381199688,0.512914271,0.303766581,0.490922609,0.622176501
21/04/2017 13.00,0.653130278,0.503375756,0.531843455,0.395304233,0.593969819,0.733084234,0.39238616,0.451344186,0.647039873,0.492058219,0.602299414,0.670785686,0.338796801,0.336132335,0.448664451,0.368384746,0.497517624,0.59916102,0.40049249,0.397342819,0.530367296,0.333373597,0.450233734,0.542216979
21/04/2017 14.00,0.685971971,0.496093723,0.196259109,0.409851852,0.596515255,0.730285434,0.359185636,0.459237095,0.626877924,0.490426159,0.588602291,0.666932593,0.46695442,0.374526255,0.477236229,0.421946611,0.487114326,0.586085746,0.486449219,0.390162287,0.497160282,0.402166518,0.464279288,0.558611107
21/04/2017 15.00,0.653920486,0.542246884,0.432969635,0.586677248,0.635161813,0.725914284,0.454731924,0.467297973,0.628108055,0.461071231,0.606417402,0.671007463,0.476890394,0.39890089,0.487128133,0.381715593,0.560353133,0.606084575,0.483832079,0.404707349,0.49421884,0.348179022,0.511121918,0.552835511
21/04/2017 16.00,0.692385894,0.549576356,0.39131444,0.45921164,0.673678408,0.774942332,0.533723422,0.485604099,0.642410369,0.571143944,0.630854386,0.703415369,0.457879818,0.373424907,0.467226893,0.563350825,0.685093021,0.791885696,0.484321717,0.394989657,0.494208572,0.418532935,0.50897945,0.588319445
21/04/2017 17.00,1.080389937,0.592202229,0.289945344,0.45537963,0.715895618,0.891461769,0.575753737,0.504313875,0.654777187,0.555660239,0.67757228,0.727541595,0.445769984,0.390840529,0.503813511,0.784986774,0.773690216,0.88162092,0.458517836,0.402017543,0.518221256,0.6424696,0.633223973,0.721559469
21/04/2017 18.00,0.628113208,0.645088048,0.421334008,0.682010582,0.756793537,0.971051783,0.535747976,0.515916719,0.686983612,0.556299502,0.727682417,0.786848392,0.425020678,0.459556439,0.588938447,0.819718131,0.761848091,0.770086166,0.393797244,0.425795893,0.545673068,0.686869082,0.638377851,0.645280808
21/04/2017 19.00,0.431415544,0.62429397,0.721320513,0.772140211,0.776297018,1.010933307,0.535299724,0.543767103,0.681584415,0.607379895,0.726415163,0.774695209,0.397609251,0.423310012,0.51301379,0.731474194,0.765186122,0.76006378,0.412318781,0.43897034,0.531992704,0.62649782,0.655371633,0.650984416
21/04/2017 20.00,0.36356469,0.628275207,0.30330027,0.542089948,0.744906428,0.977456621,0.476064355,0.52436575,0.673682095,0.655775286,0.711825128,0.744368675,0.425219391,0.440184531,0.525394524,0.703134251,0.798551093,0.754007669,0.426024924,0.441018414,0.526389828,0.557826859,0.633525173,0.598186945
21/04/2017 21.00,0.401497305,0.622955419,0.294999326,0.682988159,0.739093344,0.950532075,0.544486142,0.519371057,0.676660307,0.67629046,0.700124335,0.728267212,0.400090604,0.426556606,0.495763081,0.563132155,0.675568262,0.654102996,0.420837635,0.448676054,0.521471288,0.455961547,0.546999753,0.529619577
