READ_TIME_Date,h1vmba1uEV22,h1vmba2uEV22,h1vmba3uEV22,h2vmba1uEV22,h2vmba2uEV22,h2vmba3uEV22,h1v0ba1uEV22,h1v0ba2uEV22,h1v0ba3uEV22,h2v0ba1uEV22,h2v0ba2uEV22,h2v0ba3uEV22,A1vmba1uEV12,A1vmba2uEV12,A1vmba3uEV12,A2vmba1uEV12,A2vmba2uEV12,A2vmba3uEV12,A1v0ba1uEV12,A1v0ba2uEV12,A1v0ba3uEV12,A2v0ba1uEV12,A2v0ba2uEV12,A2v0ba3uEV12
15/07/2017 07.00,0.013960133,0.134769824,0.194933046,0.0481895,0.206162844,0.292616827,0.116025981,0.120093906,0.181212745,0.169375244,0.211394271,0.23492778,0.102995654,0.128818586,0.196120649,0.033491114,0.188694764,0.224146301,0.082121167,0.102710476,0.156372196,0.029919177,0.168569849,0.200240364
15/07/2017 08.00,0.164197064,0.186459944,0.195132162,0.035211472,0.248837921,0.310313343,0.089005909,0.148506494,0.198987778,0.145612254,0.254347194,0.282966705,0.072293789,0.125677207,0.173102681,0.064544625,0.224979549,0.301787288,0.065794483,0.114378661,0.157540523,0.053955777,0.188070598,0.252277667
15/07/2017 09.00,0.575360669,0.20653176,0.090196525,0.283544221,0.280829953,0.325676171,0.083937578,0.150664076,0.19407585,0.215357022,0.262595896,0.296581028,0.061590355,0.139558916,0.208353347,0.075393165,0.272812063,0.304379348,0.05020496,0.113760503,0.169837816,0.063446388,0.229582349,0.256147493
15/07/2017 10.00,0.28644062,0.196151883,0.287061763,0.213414159,0.278796863,0.386524389,0.113736367,0.142599681,0.180543183,0.248555413,0.25500896,0.25853612,0.147364121,0.22022331,0.275415826,0.124282133,0.318703219,0.27288518,0.078496623,0.117306613,0.146706077,0.09596083,0.24607741,0.210700345
15/07/2017 11.00,0.201485221,0.197168256,0.40332651,0.244975004,0.248739581,0.36741415,0.120576235,0.135172722,0.155459826,0.16872894,0.21746337,0.225814992,0.093118277,0.204130042,0.240954243,0.193203772,0.262844,0.332333886,0.057323243,0.125661647,0.14833048,0.129044499,0.175558541,0.221972167
15/07/2017 12.00,0.378926196,0.160737958,0.238653163,0.144167938,0.226009408,0.336179123,0.102098396,0.122022329,0.139788491,0.212114621,0.201721898,0.206139055,0.113803101,0.151837465,0.194792206,0.152708128,0.247817484,0.167699036,0.083001388,0.11074145,0.142070149,0.132379263,0.214827438,0.145374546
15/07/2017 13.00,0.025617173,0.15316844,0.262774022,0.411403306,0.208410325,0.307140127,0.124692974,0.117889981,0.130270853,0.124427888,0.188699084,0.188785754,0.065283429,0.125107828,0.154650897,0.146769494,0.237487603,0.126405901,0.051533369,0.098757495,0.122078174,0.135630612,0.219463786,0.116812488
15/07/2017 14.00,0.125496329,0.16212654,0.031748288,0.235230174,0.194187425,0.275567679,0.121185919,0.104500545,0.12234123,0.117479669,0.167968186,0.173970535,0.037859444,0.091611926,0.101744077,0.170427515,0.257851867,0.144622779,0.041045266,0.099320949,0.110305708,0.133240349,0.201588768,0.113066188
15/07/2017 15.00,0.029474981,0.143176827,0.058342645,0.278977977,0.184251341,0.256637873,0.078988356,0.095512752,0.113929208,0.106433395,0.16488115,0.162984725,0.054719248,0.080696929,0.107831391,0.166969418,0.250559492,0.200017124,0.058833542,0.086764462,0.115939141,0.106536389,0.159871812,0.127622785
15/07/2017 16.00,0.093802694,0.165380771,0.226342714,0.209518016,0.200007119,0.271942573,0.044843547,0.106598884,0.117842227,0.129912673,0.169643025,0.174020778,0.152807168,0.144198409,0.144035815,0.194936484,0.25617173,0.213947823,0.099497415,0.093891989,0.093786119,0.139839557,0.183767248,0.153477523
15/07/2017 17.00,0.058223104,0.1485649,0.042812885,0.056537818,0.210417652,0.289885398,0.044857824,0.107755959,0.124322838,0.132778807,0.190036155,0.173682932,0.040979737,0.121824428,0.136386974,0.338046797,0.31102296,0.349354003,0.034339251,0.102083613,0.114286398,0.197506106,0.181717248,0.204112416
15/07/2017 18.00,0.107016102,0.153082596,0.23797107,0.238934385,0.22316062,0.293215448,0.038978196,0.121001326,0.136840923,0.100118694,0.209784413,0.211596957,0.050664279,0.097806038,0.096687905,0.250495784,0.32165176,0.25562581,0.061219931,0.118183442,0.116832352,0.183337603,0.235416588,0.187092264
